assembly_accession,species,factoid,display_species,display_strain_name
GCF_000013425.1,Staphylococcus aureus subsp. aureus NCTC 8325,Gram-positive coccus commonly used as a laboratory strain for studying staphylococcal biology.,,
GCF_001457635.1,Streptococcus pneumoniae,Encapsulated bacterium associated with pneumonia and meningitis.,,
GCF_009734005.1,Enterococcus faecium,Gut commensal that can cause hospital-acquired infections and is known for antibiotic resistance.,,
GCF_013372105.1,Campylobacter armoricus,Campylobacter species associated with animal hosts and foodborne transmission.,,
GCF_000006765.1,Pseudomonas aeruginosa PAO1,Opportunistic pathogen and model strain for studying biofilms and antibiotic resistance.,,
GCF_007035805.1,Enterobacter asburiae,Member of the Enterobacter cloacae complex; can be an opportunistic pathogen.,,
GCF_009035845.1,Acinetobacter baumannii,Opportunistic pathogen notable for survival on surfaces and multidrug resistance.,,
GCF_013030075.1,Neisseria gonorrhoeae,Causative agent of gonorrhea; a human-specific pathogen.,,
GCF_000008865.2,Escherichia coli O157:H7 str. Sakai,Shiga toxin–producing E. coli associated with severe foodborne illness.,Escherichia coli,O157:H7 Sakai
GCF_000240185.1,Klebsiella pneumoniae subsp. pneumoniae HS11286,Opportunistic pathogen associated with pneumonia and bloodstream infections.,,
GCF_022354085.1,Shigella dysenteriae,Pathogen that causes bacillary dysentery; highly infectious.,,
GCF_020736045.1,Haemophilus influenzae,Human respiratory tract bacterium that can cause invasive disease in some strains.,,
GCF_000006945.2,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Model strain for studying Salmonella pathogenesis and metabolism.,,
GCF_000009045.1,Bacillus subtilis subsp. subtilis str. 168,Gram-positive soil bacterium widely used as a model organism for studying sporulation and gene regulation.,,
GCF_000009205.2,Clostridioides difficile 630,Anaerobic spore-forming bacterium that causes antibiotic-associated diarrhea and colitis.,,
GCF_000005845.2,Escherichia coli str. K-12 substr. MG1655,Non-pathogenic laboratory strain that is one of the most extensively studied organisms in biology.,,
GCF_000006745.1,Vibrio cholerae O1 biovar El Tor str. N16961,Causative agent of cholera known for producing cholera toxin and causing severe watery diarrhea.,,
GCF_000008525.1,Helicobacter pylori 26695,Spiral-shaped bacterium that colonizes the human stomach and is linked to ulcers and gastric cancer.,,
GCF_000025985.1,Bacteroides fragilis NCTC 9343,Common gut commensal that plays a role in digestion but can cause infections if displaced from the intestine.,,
GCF_000195955.2,Mycobacterium tuberculosis H37Rv,Slow-growing pathogen responsible for tuberculosis and a key reference strain in TB research.,,
GCF_000195775.1,Rhodopseudomonas palustris CGA009,Versatile photosynthetic bacterium used to study carbon and nitrogen fixation.,Rhodopseudomonas palustris,CGA009
GCF_000203835.1,Streptomyces coelicolor A3(2),Soil-dwelling bacterium famous for producing antibiotics and for its complex developmental life cycle.,,
GCF_000008725.1,Chlamydia trachomatis D/UW-3/CX,Obligate intracellular pathogen and leading cause of bacterial sexually transmitted infections worldwide.,,
GCF_000027325.1,Mycoplasmoides genitalium G37,Extremely small bacterium with a minimal genome used to study the limits of cellular life.,,
